"535","Bram Stoker's Dracula","$215.9"
"536","Vertical Limit","$215.7"
"537","Dracula Untold","$215.5"
"538","Ghostbusters II","$215.4"
"539","The Patriot","$215.3"
"540","The Sorcerer's Apprentice","$215.3"
"541","Just Go With It","$214.9"
"542","Public Enemies","$214.1"
"543","The Bourne Identity","$214.0"
"544","Disclosure","$214.0"
"545","Dirty Dancing","$214.0"
"546","Pulp Fiction","$213.9"
"547","The Aviator","$213.7"
"548","Crouching Tiger, Hidden Dragon","$213.5"
"549","Bedtime Stories","$212.9"
"550","Miss Congeniality","$212.7"
"551","Entrapment","$212.4"
"552","Ace Ventura: When Nature Calls","$212.4"
"553","Master and Commander: The Far Side of the World","$212.0"
"554","End of Days","$212.0"
"555","Battle: Los Angeles","$211.8"
"556","Fury (2014)","$211.8"
"557","Due Date","$211.8"
"558","Kingdom of Heaven","$211.7"
"559","The Little Mermaid","$211.3"
"560","Australia","$211.3"
"561","District 9","$210.8"
"562","Braveheart","$210.4"
"563","Moonraker","$210.3"
"564","The Others","$209.9"
"565","Horrible Bosses","$209.6"
"566","Red Dragon","$209.2"
"567","Lemony Snicket's A Series of Unfortunate Events","$209.1"
"568","Safe House","$208.1"
"569","S.W.A.T.","$207.7"
"570","Traffic","$207.5"
"571","The Fast and the Furious","$207.3"
"572","Paranormal Activity 3","$207.0"
"573","Philadelphia","$206.7"
"574","The Expendables 3","$206.2"
"575","Sleepy Hollow","$206.1"
"576","The Jungle Book","$205.8"
"577","JFK","$205.4"
"578","White House Down","$205.4"
"579","The Ugly Truth","$205.3"
"580","The Holiday","$205.1"
"581","The Break-Up","$205.0"
"582","Eat Pray Love","$204.6"
"583","King Arthur","$203.6"
"584","Vanilla Sky","$203.4"
"585","Need for Speed","$203.3"
"586","Hairspray (2007)","$202.5"
"587","Patch Adams","$202.3"
"588","Fun with Dick and Jane","$202.0"
"589","Teenage Mutant Ninja Turtles","$202.0"
"590","Kindergarten Cop","$202.0"
"591","Ponyo","$201.8"
"592","21 Jump Street","$201.6"
"593","Yogi Bear","$201.6"
"594","Garfield: The Movie","$200.8"
"595","Cats & Dogs","$200.7"
"596","The Hunt for Red October","$200.5"
"597","Valkyrie","$200.3"
